oid,name,dob
1,Tony Ressler,
2,Wyc Grousbeck,
3,Joseph Tsai,
4,Michael Jordan,
5,Jerry Reinsdorf,
6,Dan Gilbert,
7,Mark Cuban,
8,Ann Walton Kroenke,
9,Tom Gores,
10,Joe Lacob,
11,Tilman Fertitta,
12,Herbert Simon,
13,Steve Ballmer,
14,Jeanie Buss,
15,Robert J. Pera,
16,Micky Arison,
17,Marc Lasry,
18,Glen Taylor,
19,Gayle Benson,
20,James Dolan,
21,Clay Bennett,
22,Dan DeVos,
23,Joshua Harris,
24,Robert Sarver,
25,Jody Allen,
26,Vivek Ranadivé,
27,Peter Holt,
28,Larry Tanenbaum,
29,Gail Miller,
30,Ted Leonsis,
