year,pid,tid
2019,1,22
2020,1,22
2019,2,12
2020,2,12
2019,3,21
2020,3,21
2020,4,5
2020,5,30
2019,6,25
2020,6,22
2019,7,2
2020,7,23
2019,8,3
2019,9,6
2020,9,10
2020,10,10
2019,11,21
2019,12,14
2020,12,14
2019,13,1
2020,13,1
2019,14,1
2019,15,10
2020,15,6
2019,16,12
2020,16,12
2019,17,3
2020,17,1
2019,18,20
2020,18,20
2019,19,22
2020,19,22
2020,20,13
2019,21,23
2020,22,6
2019,23,10
2020,23,16
2019,24,14
2020,25,21
2019,26,10
2019,27,6
2019,28,18
2020,28,10
2019,29,25
2020,29,25
2019,30,13
2019,31,6
2020,31,6
2019,32,19
2020,32,14
2019,33,18
2020,33,15
2019,34,5
2020,35,7
2020,36,30
2019,37,2
2020,37,24
2019,38,11
2020,38,11
2019,39,13
2020,39,14
2019,40,16
2020,40,16
2019,41,26
2020,41,11
2019,42,23
2020,42,23
2019,43,20
2019,44,4
2020,44,4
2019,45,1
2020,45,22
2020,46,9
2019,47,13
2020,47,7
2019,48,5
2020,48,20
2019,49,26
2020,49,26
2019,50,12
2020,50,29
2020,51,8
2019,52,17
2019,53,2
2020,53,2
2019,54,30
2020,54,30
2020,55,15
2019,56,8
2020,56,1
2019,57,14
2020,57,19
2019,58,6
2020,58,6
2019,59,5
2020,60,12
2019,61,17
2020,61,17
2019,62,9
2020,62,9
2019,63,15
2020,63,11
2020,64,1
2019,65,27
2020,65,27
2019,66,26
2020,66,26
2019,67,15
2020,67,30
2019,68,18
2020,69,4
2019,70,25
2020,70,25
2020,71,1
2020,72,24
2019,73,5
2020,73,24
2019,74,18
2019,75,3
2020,75,3
2019,76,11
2020,76,25
2020,77,2
2019,78,6
2020,78,6
2019,79,5
2020,79,5
2019,80,15
2020,80,1
2019,81,6
2020,82,1
2019,83,30
2020,83,10
2019,84,19
2020,84,24
2019,85,27
2020,85,27
2019,86,28
2020,86,28
2019,87,11
2020,87,3
2020,88,11
2019,89,11
2020,89,21
2020,90,16
2019,91,17
2020,91,9
2019,92,25
2020,92,25
2019,93,11
2020,93,11
2020,94,5
2020,95,4
2019,96,4
2020,96,4
2019,97,6
2020,97,6
2019,98,23
2020,98,26
2019,99,12
2020,99,26
2019,100,7
2020,100,7
2019,101,5
2020,101,5
2019,102,22
2020,102,22
2019,103,17
2020,103,17
2019,104,3
2020,104,10
2019,105,19
2019,106,10
2020,106,1
2019,107,25
2020,107,25
2019,108,10
2020,108,10
2019,109,20
2020,109,20
2020,110,5
2019,111,1
2019,112,2
2020,112,2
2019,113,13
2020,113,21
2019,114,28
2020,114,14
2019,115,27
2019,116,29
2020,116,6
2019,117,11
2020,117,11
2020,118,26
2019,119,18
2020,119,24
2020,120,21
2020,121,6
2019,122,19
2019,123,12
2019,124,7
2020,124,16
2019,125,6
2020,125,3
2019,126,27
2020,126,30
2019,127,12
2019,128,26
2020,128,26
2020,129,1
2019,130,24
2020,130,15
2020,131,6
2019,132,24
2020,132,24
2019,133,7
2020,133,3
2019,134,1
2020,134,1
2020,135,27
2019,136,15
2020,136,7
2019,137,27
2020,137,27
2019,138,10
2019,139,3
2020,139,11
2019,140,23
2019,141,6
2019,142,21
2020,142,21
2019,143,7
2020,143,20
2020,144,5
2019,145,21
2020,145,21
2019,146,29
2020,146,19
2019,147,16
2020,147,16
2019,148,18
2020,148,9
2020,149,9
2019,150,27
2020,150,27
2019,151,8
2019,152,24
2020,152,24
2019,153,7
2019,154,30
2020,155,21
2020,156,14
2019,157,4
2020,157,4
2020,158,28
2019,159,1
2020,159,1
2019,160,1
2019,161,15
2020,161,15
2019,162,16
2020,162,14
2019,163,7
2019,164,15
2019,165,12
2020,165,12
2019,166,27
2019,167,29
2020,167,29
2020,168,3
2019,169,17
2020,169,17
2019,170,21
2019,171,7
2020,171,7
2019,172,12
2020,172,12
2019,173,24
2020,173,10
2019,174,10
2020,174,10
2019,175,27
2020,175,27
2019,176,16
2020,176,16
2019,177,15
2020,177,15
2019,178,4
2020,178,4
2019,179,30
2020,179,14
2019,180,7
2020,180,7
2019,181,16
2019,182,3
2020,182,3
2019,183,19
2020,183,19
2019,184,3
2020,184,29
2019,185,12
2020,185,12
2019,186,29
2019,187,19
2020,187,20
2019,188,24
2020,188,24
2019,189,16
2019,190,20
2020,190,29
2019,191,20
2020,191,2
2019,192,17
2020,192,17
2019,193,11
2020,193,11
2020,194,26
2019,195,24
2020,196,10
2019,197,17
2020,197,17
2019,198,22
2020,198,22
2019,199,25
2020,199,1
2019,200,19
2020,200,19
2019,201,4
2020,201,24
2019,202,26
2020,202,17
2019,203,20
2020,203,20
2019,204,28
2020,204,28
2019,205,23
2020,205,23
2020,206,16
2019,207,13
2020,207,3
2020,208,30
2019,209,11
2020,209,11
2019,210,8
2020,210,8
2019,211,30
2020,211,30
2019,212,25
2020,212,25
2019,213,6
2020,213,17
2019,214,24
2019,215,29
2020,215,29
2019,216,11
2019,217,17
2020,217,17
2019,218,9
2020,218,10
2020,219,12
2019,220,16
2020,220,16
2019,221,2
2020,221,2
2019,222,18
2020,222,15
2020,223,2
2019,224,29
2020,224,15
2019,225,2
2019,226,2
2019,227,21
2020,227,21
2019,228,7
2020,228,26
2019,229,26
2020,229,26
2019,230,16
2020,230,25
2019,231,23
2019,232,9
2020,232,3
2019,233,19
2019,234,30
2020,234,30
2020,235,20
2019,236,12
2019,237,11
2020,237,3
2019,238,14
2020,238,30
2019,239,1
2019,240,22
2019,241,17
2019,242,11
2020,242,11
2019,243,20
2020,244,21
2019,245,8
2020,245,30
2019,246,9
2020,246,30
2019,247,15
2019,248,13
2020,248,13
2019,249,7
2020,249,7
2019,250,4
2020,250,6
2020,251,15
2019,252,5
2020,252,1
2019,253,10
2020,253,10
2019,254,29
2020,254,15
2019,255,19
2020,255,19
2019,256,5
2020,256,12
2019,257,25
2020,257,18
2019,258,27
2020,258,27
2019,259,7
2020,259,7
2019,260,6
2020,261,24
2020,262,4
2019,263,24
2020,263,3
2019,264,8
2020,264,8
2019,265,11
2020,265,22
2019,266,11
2020,266,11
2019,267,16
2020,267,16
2019,268,11
2019,269,13
2020,269,13
2019,270,3
2020,270,14
2020,271,24
2019,272,18
2019,273,22
2019,274,15
2020,274,15
2019,275,6
2019,276,8
2020,276,8
2020,277,29
2019,278,3
2020,278,3
2020,279,18
2020,280,15
2019,281,17
2019,282,14
2020,282,14
2020,283,2
2019,284,21
2020,285,19
2019,286,1
2019,287,2
2020,287,2
2020,288,25
2019,289,17
2020,290,18
2019,291,2
2020,291,2
2019,292,30
2020,292,11
2019,293,18
2020,293,1
2019,294,14
2019,295,21
2020,295,8
2020,296,3
2019,297,4
2020,297,12
2019,298,1
2020,299,10
2019,300,22
2020,300,30
2019,301,13
2020,301,13
2019,302,18
2019,303,15
2020,303,24
2019,304,24
2019,305,18
2020,305,16
2019,306,23
2020,306,19
2019,307,15
2020,307,13
2019,308,28
2019,309,4
2020,309,4
2019,310,3
2020,310,3
2019,311,29
2020,311,29
2019,312,23
2020,312,23
2019,313,1
2020,313,1
2019,314,17
2020,314,6
2019,315,6
2019,316,20
2020,317,15
2019,318,30
2019,319,13
2020,319,13
2019,320,14
2020,320,30
2019,321,9
2019,322,23
2020,322,23
2019,323,10
2019,324,15
2020,324,15
2019,325,22
2020,325,22
2019,326,22
2019,327,10
2020,327,15
2020,328,9
2019,329,6
2020,329,6
2019,330,28
2020,331,18
2019,332,30
2020,332,8
2020,333,10
2019,334,1
2019,335,9
2020,336,19
2019,337,14
2020,337,19
2019,338,24
2020,338,15
2020,339,22
2019,340,18
2020,340,18
2020,341,7
2019,342,16
2020,342,23
2019,343,6
2020,343,14
2019,344,19
2020,344,19
2019,345,8
2020,345,8
2020,346,10
2019,347,15
2019,348,19
2019,349,1
2020,349,3
2019,350,5
2020,350,12
2019,351,7
2020,351,7
2020,352,26
2019,353,23
2020,353,21
2020,354,30
2020,355,29
