pid,season,gp,gs,min,pts,oreb,dr,reb,ast,stl,blk,tuov,pf,ast_tuov,per
1,2019,78,78,33.8,16,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,1.8,15.18
1,2020,62,62,32.5,14.4,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2,2.3,15.18
2,2019,50,0,12.9,5.9,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,2.2,11.99
2,2020,66,33,24.5,9.5,0.3,2,2.4,3.4,0.8,0.2,1.3,1.8,2.6,11.64
3,2019,61,1,11.4,4,0.2,1.7,1.9,0.3,0.3,0.2,0.4,1.1,0.8,8.83
3,2020,55,6,15.8,6.3,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,0.9,11.36
4,2020,11,0,10.2,2.9,0.6,0.3,0.9,0.4,0.4,0,0.2,1.5,2,8.18
5,2020,33,2,11.2,3,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,2.1,6.18
6,2019,81,81,28.3,9.4,1.4,6.1,7.5,1.3,0.8,0.4,0.9,1.8,1.4,13.18
6,2020,18,2,21.1,4.3,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,1.2,7.62
7,2019,68,68,29,13.6,1.8,5,6.7,4.2,0.9,1.3,1.5,1.9,2.8,20.21
7,2020,67,61,30.2,11.9,1.5,5.3,6.8,4,0.8,0.9,1.2,2.1,3.4,15.74
8,2019,5,0,5.2,3.6,0.8,3,3.8,0.6,0.2,0,0.2,0.4,3,32.97
9,2019,34,24,28.8,11.6,0.8,4.7,5.5,2.9,0.7,0.5,1.4,1.8,2.1,13.22
9,2020,48,18,29,16.1,0.8,3.9,4.7,3.1,1,0.4,1.6,2.2,2,16.17
10,2020,14,0,9.9,4.2,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1,1.2,14.52
11,2019,31,2,19,5.3,0.2,1.4,1.5,0.6,0.5,0.2,0.5,1.7,1.4,6.28
12,2019,25,4,21.2,9.2,0.8,1.9,2.7,3.1,1,0.4,1.7,2.2,1.8,13.9
12,2020,64,2,18.4,5.5,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,2.3,10.79
13,2019,77,31,20.1,11.1,2.1,3.5,5.5,1.1,0.4,0.9,1.3,2.6,0.9,17.27
13,2020,40,9,18.6,8.7,1.7,4,5.8,1.1,0.5,0.8,1,2.3,1.1,17.57
14,2019,21,1,14.5,5.1,1.4,2.2,3.6,0.8,0.2,0.5,0.6,2.2,1.3,12.21
15,2019,72,5,13.9,4.7,1.1,2.3,3.4,0.4,0.3,0.2,0.4,1.9,1,11.2
15,2020,40,1,14.8,4.6,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,0.5,8.76
16,2019,14,0,4.6,0.9,0.3,1.1,1.4,0.1,0.1,0.2,0,0.5,0,6.36
16,2020,17,1,6.9,2,0.9,1.9,2.8,0.4,0.2,0.1,0.4,0.7,1,13.28
17,2019,43,20,26.3,9.6,0.4,3.1,3.4,1.1,0.5,0.3,1.1,2.4,1,7.74
17,2020,28,1,18.6,5.1,0.4,2,2.3,1,0.5,0.1,0.4,1.3,2.3,7.2
18,2019,64,3,22.8,10.9,0.5,2.6,3.1,1.9,0.4,0.2,1.8,1.8,1,12.19
18,2020,24,1,12.1,6.5,0.3,1,1.2,1.2,0.1,0.2,0.9,1.2,1.3,14.55
19,2019,12,0,5.7,2.3,0.5,1.3,1.8,0.3,0.3,0.3,0.1,0.7,3,21.12
19,2020,18,0,4.1,0.8,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,1.3,8.89
20,2020,18,1,8.8,3.2,0.2,0.7,0.9,0.8,0.3,0.1,0.4,1.1,1.8,8.55
21,2019,51,6,10.4,3.9,0.9,2,2.9,1.2,0.3,0.3,0.9,1.9,1.3,13.12
22,2020,8,8,28.1,17.5,3,8.1,11.1,1.8,1.5,1.4,3.6,3.1,0.5,21.19
23,2019,68,13,23.2,5.7,0.7,3,3.7,3.2,0.9,0.8,0.8,1.4,4.2,13.12
23,2020,21,0,19.9,4.6,0.8,2.9,3.7,2.4,0.7,1,1.2,1.7,2,10.53
24,2019,4,0,3.8,0,0.3,0.3,0.5,0,0.3,0,0.3,0,0,-11.89
25,2020,7,0,12.4,2.9,1,2.9,3.9,0.6,0.1,0.4,0.3,1.9,2,5.46
26,2019,11,5,12.2,3.5,1.1,3.9,5,1,0.3,0.7,0.7,2,1.4,13.48
27,2019,10,0,14.4,4.3,0.4,1.1,1.5,1.7,0.4,0.2,1,2.6,1.7,6.61
28,2019,73,73,34.8,18.1,1.1,3.7,4.8,2.5,1,0.7,1.9,2.1,1.3,12.42
28,2020,12,12,33.6,19.4,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,1.7,17.58
29,2019,20,1,7.1,3.8,0.2,0.5,0.7,0.7,0.1,0,0.6,0.5,1.2,11.14
29,2020,70,4,20.7,8.3,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,1.6,9
30,2019,2,0,7.5,1.5,1,1,2,0,0.5,0,0,1,0,4.35
31,2019,59,25,18.3,7.8,1.8,3.6,5.4,0.9,0.2,0.4,1,1.9,0.9,16.28
31,2020,22,0,10,4.4,0.8,2.2,3,0.3,0.3,0.2,0.5,1.2,0.6,16.45
32,2019,56,56,33,25.9,3.1,8.9,12,3.9,1.6,2.4,2,2.4,1.9,30.32
32,2020,62,62,34.4,26.1,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,1.3,27.5
33,2019,65,0,16.6,5,0.2,2.5,2.7,0.7,0.3,0.3,0.6,1.4,1.3,8.65
33,2020,13,4,18.2,4.8,0.4,2.2,2.5,0.8,0.5,0.1,0.7,1.1,1.1,8.05
34,2019,57,3,14.5,7.3,0.1,1.7,1.9,0.7,0.2,0.2,0.6,0.7,1.2,10.65
35,2020,11,0,4.2,1,0.2,0.5,0.6,0.1,0.1,0.3,0.2,0.7,0.5,2.55
36,2020,27,0,16.2,5.8,1.6,2.4,4,0.7,0.3,0.4,0.9,2.8,0.8,11.29
37,2019,51,18,16.1,5.6,1.7,3,4.7,1.1,0.2,0.7,0.8,2.5,1.4,14.06
37,2020,42,28,22.3,11.5,1.7,4,5.6,1.6,0.2,0.5,1.2,3.4,1.3,15.22
38,2019,47,13,28.6,8.7,0.3,1.6,1.9,2.3,0.6,0.3,0.7,2.9,3.4,8.18
38,2020,68,4,23.4,8.8,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,2.3,10.47
39,2019,49,49,29.9,8.2,0.7,2,2.7,2,0.6,0.3,1.2,2.7,1.6,5.57
